size.class,nematode1,nematode2,p_value,signif
6,Stegelletina,Mesorhabditis,NA,
6,A. mariannae,PC,NA,
6,Acrobeles sp.,PC,NA,
6,Acrobeloides,PC,NA,
6,Cervidellus,PC,NA,
6,Mesorhabditis,PC,NA,
6,PC,PC,NA,
6,Stegelleta,PC,0.051338042,
6,Stegelletina,PC,0.051338042,
6,A. mariannae,Stegelleta,NA,
6,Acrobeles sp.,Stegelleta,NA,
6,Acrobeloides,Stegelleta,NA,
6,Cervidellus,Stegelleta,NA,
6,Mesorhabditis,Stegelleta,NA,
6,PC,Stegelleta,NA,
6,Stegelleta,Stegelleta,NA,
6,Stegelletina,Stegelleta,0.621324267,
7,A. mariannae,A. emmatus,1,
7,Acrobeles sp.,A. emmatus,1,
7,Acrobeloides,A. emmatus,1,
7,Cervidellus,A. emmatus,1,
7,Mesorhabditis,A. emmatus,0.730861582,
7,PC,A. emmatus,0.065436921,
7,Stegelleta,A. emmatus,0.689376641,
7,Stegelletina,A. emmatus,1,
7,A. mariannae,A. mariannae,NA,
7,Acrobeles sp.,A. mariannae,1,
7,Acrobeloides,A. mariannae,1,
7,Cervidellus,A. mariannae,1,
7,Mesorhabditis,A. mariannae,1,
7,PC,A. mariannae,0.065436921,
7,Stegelleta,A. mariannae,1,
7,Stegelletina,A. mariannae,1,
7,A. mariannae,Acrobeles sp.,NA,
7,Acrobeles sp.,Acrobeles sp.,NA,
7,Acrobeloides,Acrobeles sp.,1,
7,Cervidellus,Acrobeles sp.,1,
7,Mesorhabditis,Acrobeles sp.,1,
7,PC,Acrobeles sp.,0.353893035,
7,Stegelleta,Acrobeles sp.,1,
7,Stegelletina,Acrobeles sp.,1,
7,A. mariannae,Acrobeloides,NA,
7,Acrobeles sp.,Acrobeloides,NA,
7,Acrobeloides,Acrobeloides,NA,
7,Cervidellus,Acrobeloides,1,
7,Mesorhabditis,Acrobeloides,1,
7,PC,Acrobeloides,0.207967115,
7,Stegelleta,Acrobeloides,1,
7,Stegelletina,Acrobeloides,1,
7,A. mariannae,Cervidellus,NA,
7,Acrobeles sp.,Cervidellus,NA,
7,Acrobeloides,Cervidellus,NA,
7,Cervidellus,Cervidellus,NA,
7,Mesorhabditis,Cervidellus,1,
7,PC,Cervidellus,0.353893035,
7,Stegelleta,Cervidellus,1,
7,Stegelletina,Cervidellus,1,
7,A. mariannae,Mesorhabditis,NA,
7,Acrobeles sp.,Mesorhabditis,NA,
7,Acrobeloides,Mesorhabditis,NA,
7,Cervidellus,Mesorhabditis,NA,
7,Mesorhabditis,Mesorhabditis,NA,
7,PC,Mesorhabditis,0.132768892,
7,Stegelleta,Mesorhabditis,1,
7,Stegelletina,Mesorhabditis,1,
7,A. mariannae,PC,NA,
7,Acrobeles sp.,PC,NA,
7,Acrobeloides,PC,NA,
7,Cervidellus,PC,NA,
7,Mesorhabditis,PC,NA,
7,PC,PC,NA,
7,Stegelleta,PC,0.065436921,
7,Stegelletina,PC,0.065436921,
7,A. mariannae,Stegelleta,NA,
7,Acrobeles sp.,Stegelleta,NA,
7,Acrobeloides,Stegelleta,NA,
7,Cervidellus,Stegelleta,NA,
7,Mesorhabditis,Stegelleta,NA,
7,PC,Stegelleta,NA,
7,Stegelleta,Stegelleta,NA,
7,Stegelletina,Stegelleta,1,
8,A. mariannae,A. emmatus,0.944569991,
8,Acrobeles sp.,A. emmatus,0.944569991,
8,Acrobeloides,A. emmatus,0.944569991,
8,Cervidellus,A. emmatus,0.944569991,
8,Mesorhabditis,A. emmatus,0.944569991,
8,PC,A. emmatus,0.053432351,
8,Stegelleta,A. emmatus,0.944569991,
8,Stegelletina,A. emmatus,0.944569991,
8,A. mariannae,A. mariannae,NA,
8,Acrobeles sp.,A. mariannae,0.944569991,
8,Acrobeloides,A. mariannae,0.944569991,
8,Cervidellus,A. mariannae,0.944569991,
8,Mesorhabditis,A. mariannae,0.966157335,
8,PC,A. mariannae,0.053432351,
8,Stegelleta,A. mariannae,1,
8,Stegelletina,A. mariannae,1,
8,A. mariannae,Acrobeles sp.,NA,
8,Acrobeles sp.,Acrobeles sp.,NA,
8,Acrobeloides,Acrobeles sp.,NA,
8,Cervidellus,Acrobeles sp.,NA,
8,Mesorhabditis,Acrobeles sp.,0.944569991,
8,PC,Acrobeles sp.,0.313198722,
8,Stegelleta,Acrobeles sp.,0.944569991,
8,Stegelletina,Acrobeles sp.,0.944569991,
8,A. mariannae,Acrobeloides,NA,
8,Acrobeles sp.,Acrobeloides,NA,
8,Acrobeloides,Acrobeloides,NA,
8,Cervidellus,Acrobeloides,NA,
8,Mesorhabditis,Acrobeloides,0.944569991,
8,PC,Acrobeloides,0.172673409,
8,Stegelleta,Acrobeloides,0.944569991,
8,Stegelletina,Acrobeloides,0.944569991,
8,A. mariannae,Cervidellus,NA,
8,Acrobeles sp.,Cervidellus,NA,
8,Acrobeloides,Cervidellus,NA,
8,Cervidellus,Cervidellus,NA,
8,Mesorhabditis,Cervidellus,0.944569991,
8,PC,Cervidellus,0.313198722,
8,Stegelleta,Cervidellus,0.944569991,
8,Stegelletina,Cervidellus,0.944569991,
8,A. mariannae,Mesorhabditis,NA,
8,Acrobeles sp.,Mesorhabditis,NA,
8,Acrobeloides,Mesorhabditis,NA,
8,Cervidellus,Mesorhabditis,NA,
8,Mesorhabditis,Mesorhabditis,NA,
8,PC,Mesorhabditis,0.115176896,
8,Stegelleta,Mesorhabditis,0.966157335,
8,Stegelletina,Mesorhabditis,0.966157335,
8,A. mariannae,PC,NA,
8,Acrobeles sp.,PC,NA,
8,Acrobeloides,PC,NA,
8,Cervidellus,PC,NA,
8,Mesorhabditis,PC,NA,
8,PC,PC,NA,
8,Stegelleta,PC,0.053432351,
8,Stegelletina,PC,0.053432351,
8,A. mariannae,Stegelleta,NA,
8,Acrobeles sp.,Stegelleta,NA,
8,Acrobeloides,Stegelleta,NA,
8,Cervidellus,Stegelleta,NA,
8,Mesorhabditis,Stegelleta,NA,
8,PC,Stegelleta,NA,
8,Stegelleta,Stegelleta,NA,
8,Stegelletina,Stegelleta,1,
9,A. mariannae,A. emmatus,1,
9,Acrobeles sp.,A. emmatus,0.803743192,
9,Acrobeloides,A. emmatus,0.789102338,
9,Cervidellus,A. emmatus,0.803743192,
9,Mesorhabditis,A. emmatus,0.739346092,
9,PC,A. emmatus,0.044639594,*
9,Stegelleta,A. emmatus,0.561819419,
9,Stegelletina,A. emmatus,0.618886812,
9,A. mariannae,A. mariannae,NA,
9,Acrobeles sp.,A. mariannae,0.803743192,
9,Acrobeloides,A. mariannae,0.789102338,
9,Cervidellus,A. mariannae,0.803743192,
9,Mesorhabditis,A. mariannae,0.739346092,
9,PC,A. mariannae,0.044639594,*
9,Stegelleta,A. mariannae,0.561819419,
9,Stegelletina,A. mariannae,0.618886812,
9,A. mariannae,Acrobeles sp.,NA,
9,Acrobeles sp.,Acrobeles sp.,NA,
9,Acrobeloides,Acrobeles sp.,NA,
9,Cervidellus,Acrobeles sp.,NA,
9,Mesorhabditis,Acrobeles sp.,NA,
9,PC,Acrobeles sp.,0.21934456,
9,Stegelleta,Acrobeles sp.,0.561819419,
9,Stegelletina,Acrobeles sp.,NA,
9,A. mariannae,Acrobeloides,NA,
9,Acrobeles sp.,Acrobeloides,NA,
9,Acrobeloides,Acrobeloides,NA,
9,Cervidellus,Acrobeloides,NA,
9,Mesorhabditis,Acrobeloides,NA,
9,PC,Acrobeloides,0.136045716,
9,Stegelleta,Acrobeloides,0.49335031,
9,Stegelletina,Acrobeloides,NA,
9,A. mariannae,Cervidellus,NA,
9,Acrobeles sp.,Cervidellus,NA,
9,Acrobeloides,Cervidellus,NA,
9,Cervidellus,Cervidellus,NA,
9,Mesorhabditis,Cervidellus,NA,
9,PC,Cervidellus,0.21934456,
9,Stegelleta,Cervidellus,0.561819419,
9,Stegelletina,Cervidellus,NA,
9,A. mariannae,Mesorhabditis,NA,
9,Acrobeles sp.,Mesorhabditis,NA,
9,Acrobeloides,Mesorhabditis,NA,
9,Cervidellus,Mesorhabditis,NA,
9,Mesorhabditis,Mesorhabditis,NA,
9,PC,Mesorhabditis,0.076033685,
9,Stegelleta,Mesorhabditis,0.368105045,
9,Stegelletina,Mesorhabditis,NA,
9,A. mariannae,PC,NA,
9,Acrobeles sp.,PC,NA,
9,Acrobeloides,PC,NA,
9,Cervidellus,PC,NA,
9,Mesorhabditis,PC,NA,
9,PC,PC,NA,
9,Stegelleta,PC,0.044639594,*
9,Stegelletina,PC,0.044639594,*
9,A. mariannae,Stegelleta,NA,
9,Acrobeles sp.,Stegelleta,NA,
9,Acrobeloides,Stegelleta,NA,
9,Cervidellus,Stegelleta,NA,
9,Mesorhabditis,Stegelleta,NA,
9,PC,Stegelleta,NA,
9,Stegelleta,Stegelleta,NA,
9,Stegelletina,Stegelleta,0.21934456,
10,A. mariannae,A. emmatus,0.708149333,
10,Acrobeles sp.,A. emmatus,NA,
10,Acrobeloides,A. emmatus,NA,
10,Cervidellus,A. emmatus,NA,
10,Mesorhabditis,A. emmatus,NA,
10,PC,A. emmatus,0.027626773,*
10,Stegelleta,A. emmatus,NA,
10,Stegelletina,A. emmatus,0.708149333,
10,A. mariannae,A. mariannae,NA,
10,Acrobeles sp.,A. mariannae,0.811471492,
10,Acrobeloides,A. mariannae,0.811471492,
10,Cervidellus,A. mariannae,0.811471492,
10,Mesorhabditis,A. mariannae,0.810437062,
10,PC,A. mariannae,0.027626773,*
10,Stegelleta,A. mariannae,0.708149333,
10,Stegelletina,A. mariannae,1,
10,A. mariannae,Acrobeles sp.,NA,
10,Acrobeles sp.,Acrobeles sp.,NA,
10,Acrobeloides,Acrobeles sp.,NA,
10,Cervidellus,Acrobeles sp.,NA,
10,Mesorhabditis,Acrobeles sp.,NA,
10,PC,Acrobeles sp.,0.192188871,
10,Stegelleta,Acrobeles sp.,NA,
10,Stegelletina,Acrobeles sp.,0.811471492,
10,A. mariannae,Acrobeloides,NA,
10,Acrobeles sp.,Acrobeloides,NA,
10,Acrobeloides,Acrobeloides,NA,
10,Cervidellus,Acrobeloides,NA,
10,Mesorhabditis,Acrobeloides,NA,
10,PC,Acrobeloides,0.1061483,
10,Stegelleta,Acrobeloides,NA,
10,Stegelletina,Acrobeloides,0.811471492,
10,A. mariannae,Cervidellus,NA,
10,Acrobeles sp.,Cervidellus,NA,
10,Acrobeloides,Cervidellus,NA,
10,Cervidellus,Cervidellus,NA,
10,Mesorhabditis,Cervidellus,NA,
10,PC,Cervidellus,0.192188871,
10,Stegelleta,Cervidellus,NA,
10,Stegelletina,Cervidellus,0.811471492,
10,A. mariannae,Mesorhabditis,NA,
10,Acrobeles sp.,Mesorhabditis,NA,
10,Acrobeloides,Mesorhabditis,NA,
10,Cervidellus,Mesorhabditis,NA,
10,Mesorhabditis,Mesorhabditis,NA,
10,PC,Mesorhabditis,0.059519831,
10,Stegelleta,Mesorhabditis,NA,
10,Stegelletina,Mesorhabditis,0.810437062,
10,A. mariannae,PC,NA,
10,Acrobeles sp.,PC,NA,
10,Acrobeloides,PC,NA,
10,Cervidellus,PC,NA,
10,Mesorhabditis,PC,NA,
10,PC,PC,NA,
10,Stegelleta,PC,0.027626773,*
10,Stegelletina,PC,0.027626773,*
10,A. mariannae,Stegelleta,NA,
10,Acrobeles sp.,Stegelleta,NA,
10,Acrobeloides,Stegelleta,NA,
10,Cervidellus,Stegelleta,NA,
10,Mesorhabditis,Stegelleta,NA,
10,PC,Stegelleta,NA,
10,Stegelleta,Stegelleta,NA,
10,Stegelletina,Stegelleta,0.708149333,
